;instance;makespans;result;models;models_more;time_total;time_unsat
13;14_3_29_L.lp.out;[4854, 4484, 4352, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4099, 4080, 4080, 4080, 4080, 4080, 4080, 3818, 3818, 3818, 3818, 3818, 3818, 3815, 3617, 3617, 3617, 3617, 3617, 3562, 3562, 3559, 3559, 3421, 3421, 3421, 3421, 3421, 3421, 3421, 3421, 3421, 3421, 3421, 3421, 3421, 3421, 3421, 3421, 3421, 3421, 3421, 3287, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3139, 3057, 3057, 3012, 3012, 3012, 3012, 3012, 3012, 3012, 3012, 3012, 3012, 3012, 3012, 3012, 3012, 3012, 3012, 3012, 3012, 3012, 3012, 3012, 3012, 2935, 2935, 2935, 2935, 2935, 2935, 2935, 2935, 2935, 2935, 2935, 2935, 2935, 2935, 2935, 2935, 2935, 2935, 2935, 2841, 2841, 2841, 2841, 2841];FEASIBLE;208;True;300.001;0.0
14;15_3_32_L.lp.out;[7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 7084, 6978, 6986, 6986, 6986, 6986, 6885, 6885, 6885, 6885, 6733, 6733, 6733, 6733, 6733, 6733, 6733, 6733, 6733, 6733, 6733, 6551, 6551, 6551, 6551, 6551, 6551, 6551, 6551, 6551, 6551, 6551, 6537, 6537, 6537, 6239, 6239, 6239, 6239, 6225, 6225, 6225, 6139, 6139, 6139, 5584, 5584, 5584, 5584, 5584, 5578, 5578, 5578, 5228, 5228, 5228, 5228, 5228, 5228, 5228, 5228, 5228, 5156, 5156, 5156, 5156, 5156, 5156, 5156, 4914, 4914, 4914, 4914, 4914, 4914, 4914, 4914];FEASIBLE;86;True;300.002;0.0
15;16_3_45_L.lp.out;[9796, 9796, 9796, 9796, 9796, 9796, 9796, 9796, 9796, 9796, 9796, 7863, 7863, 7863, 7863, 7863, 7470, 7470, 7470, 7470, 7470, 7470, 7470, 7470];FEASIBLE;24;True;300.001;0.0
16;17_3_40_L.lp.out;[7720, 7720, 7720, 7720, 7720, 7720, 7720, 7720, 7720, 7720, 7720];FEASIBLE;11;True;300.001;0.0
17;18_3_31_L.lp.out;[5817, 5817, 5817, 5817, 5817, 5817, 5817, 5817, 5817, 5817, 5817, 5817, 5817, 4989, 5148, 5148, 5148, 5148, 5256, 5256, 5256, 5256, 5256, 5256, 5256, 5256, 5256, 5256, 5256, 5256, 5256, 5161, 5161, 5161, 4650, 4482, 4482, 4482, 4482];FEASIBLE;39;True;300.001;0.0
18;19_3_30_L.lp.out;[6753, 6753, 6753, 6753, 6753];FEASIBLE;5;True;300.001;0.0
19;20_3_7_L.lp.out;[1922, 1887, 1742, 1642, 1642, 1642, 1642, 1344, 1143, 1206, 902, 874, 852, 888, 874, 874, 855, 855, 850, 850];OPTIMAL;20;False;0.514;0.056
20;21_3_9_L.lp.out;[1308, 1308, 1689, 1730, 1367, 1730, 1367, 1394, 1308, 1367, 1308, 1689, 1308, 1252, 1308, 1308, 1367, 1730, 1394, 1394, 1367, 1730, 1367, 1308, 1252, 1252, 1367, 1308, 1394, 1252, 1730, 1689, 1252, 1730, 1730, 1252, 1394, 1252, 1252, 1394, 1367, 1394, 1689, 1252, 1367, 1394, 1730, 915, 915, 915];OPTIMAL;50;False;0.514;0.097
21;22_3_10_L.lp.out;[1785, 1676, 1772, 1772, 1676, 1676, 1676, 1676, 1676, 1676, 1582, 1582, 1546, 1546, 1546, 1546, 1546, 1546, 1453, 1453, 1321, 1321, 1321, 1225, 1225, 1090, 1090, 1095, 1090, 1090, 1083, 1077, 1077, 1077];OPTIMAL;34;False;9.023;0.191
22;23_3_44_L.lp.out;[8152, 8152, 8152, 8152, 8152, 8152, 8152, 8152, 8152, 8152, 8020, 8020, 8020, 8020, 8020, 8020, 8020, 8020];FEASIBLE;18;True;300.001;0.0
