;instance;makespans;result;models;models_more;time_total;time_unsat
16;17_3_40_L.lp.out;[8026, 8023, 7948, 7877, 7874, 7362, 7149, 6913, 6909, 6725, 6314, 5958, 5821, 5796, 5788, 5683, 5680, 5662];FEASIBLE;18;True;299.985;0.0
17;18_3_31_L.lp.out;[7857, 7854, 7840, 7040, 6629, 6129, 6085, 5574, 5328, 5305, 5051, 4929, 4850, 4822, 4703, 4628, 4394, 4390, 4389, 4275, 4263, 4094, 3964, 3956, 3947, 3936, 3928, 3920, 3911, 3895, 3875, 3843, 3806, 3758, 3755, 3740, 3609, 3552, 3486, 3482, 3448, 3445, 3415, 3407, 3404, 3389, 3370, 3296];OPTIMAL;48;False;69.819;0.0
18;19_3_30_L.lp.out;[5335, 4348, 4344, 4321, 4097, 4084, 3991, 3982, 3977, 3936, 3896, 3830, 3829, 3812, 3767, 3746, 3724, 3688, 3680, 3632, 3614, 3609, 3562, 3418, 3417, 3408, 3382, 3372, 3367, 3359, 3356, 3348, 3311, 3293, 3280, 3277, 3268, 3253];OPTIMAL;38;False;106.944;0.068
19;20_3_7_L.lp.out;[1742, 1710, 1503, 1430, 1194, 1044, 852, 850];OPTIMAL;8;False;0.03;0.0
20;21_3_9_L.lp.out;[1328, 1065, 1023, 967, 956, 915];OPTIMAL;6;False;0.046;0.001
21;22_3_10_L.lp.out;[2320, 1813, 1759, 1645, 1428, 1264, 1258, 1194, 1099, 1093, 1090, 1077];OPTIMAL;12;False;0.076;0.001
22;23_3_44_L.lp.out;[8446, 8429];FEASIBLE;2;True;299.999;0.0
23;24_3_41_L.lp.out;[8180, 8049, 8040, 7975, 7692, 7427, 7156, 7107, 7022, 7016, 6961, 6793, 6741, 6689, 6640, 6622, 6562, 6507, 6492, 6476, 6444, 6285, 6262];FEASIBLE;23;True;299.985;0.0
24;25_3_33_L.lp.out;[8771, 8743, 8719, 8230, 8125, 8024, 7952, 7864, 7828, 7808, 7777, 7568, 7220, 6967, 6730, 6650, 6639, 6422, 6350, 6017, 6013, 5947, 5945, 5824, 5673, 5553, 5413, 5234, 5126, 5090, 5022];FEASIBLE;31;True;299.983;0.0
25;26_3_29_L.lp.out;[5238, 5171, 5158, 5143, 5032, 5029, 4967, 4946, 4853, 4850, 4742, 4682, 4659, 4607, 4604, 4554, 4498, 4403, 4373, 4289, 4255, 4240, 4191, 4123, 4058, 3995, 3975, 3962, 3890, 3859, 3842, 3808, 3804, 3756, 3751, 3748, 3743, 3661, 3642, 3637, 3635, 3566, 3559, 3548, 3514, 3508, 3505, 3500, 3467, 3464, 3462, 3461, 3363, 3324, 3275, 3261, 3249, 3238, 3215, 3208, 3205, 3196, 3191, 3177, 3164, 3136, 3133, 3108, 3107, 3093, 3084, 3077, 3072, 3064];FEASIBLE;74;True;299.973;0.0
26;27_3_42_L.lp.out;[11412, 11360, 10897, 10589, 10523, 10284, 10161, 10156, 9871, 9795, 9742, 9509, 9250, 9128, 9115, 9032, 8603, 8566, 8261, 8243, 8227, 8075, 7721, 7638, 7369];FEASIBLE;25;True;299.98;0.0
