;instance;makespans;result;models;models_more;time_total;time_unsat
14;15_3_32_L.lp.out;[8397, 8292, 8244, 8040, 7931, 7895, 6819, 6811, 6668, 6558, 6381, 6228, 6094, 6045, 6040, 6027, 5902, 5877, 5756, 5493, 5462, 5381, 5322, 5321, 5309, 5192, 5148, 4969, 4958, 4917, 4876, 4868, 4843, 4788, 4762, 4759, 4720, 4718, 4699, 4614, 4377, 4369, 4327, 4250, 4070, 3993, 3947, 3931, 3895, 3826, 3799, 3797, 3696, 3672, 3650, 3646, 3578, 3568, 3446, 3439, 3438, 3431, 3415, 3409, 3390, 3368, 3360, 3358, 3357, 3324, 3312, 3305, 3303, 3281, 3236, 3230, 3198, 3168, 3161, 3114, 3113, 3100];OPTIMAL;82;False;269.841;0.016
15;16_3_45_L.lp.out;[8257, 8250];FEASIBLE;2;True;299.999;0.0
16;17_3_40_L.lp.out;[7892, 7888];FEASIBLE;2;True;299.999;0.0
17;18_3_31_L.lp.out;[7857, 7854, 7482, 6964, 6920, 6913, 6444, 6362, 6330, 5892, 5877, 5771, 5652, 5176, 4963, 4905, 4706, 4665, 4584, 4476, 4427, 4383, 4375, 4349, 4221, 4216, 4162, 4027, 3950, 3881, 3849, 3840, 3815, 3811, 3797, 3789, 3727, 3726, 3686, 3639, 3636, 3625, 3621, 3571, 3550, 3510, 3473, 3421, 3405, 3349, 3340, 3329, 3326, 3299, 3298, 3296];OPTIMAL;56;False;141.442;0.0
18;19_3_30_L.lp.out;[5174];FEASIBLE;1;True;300.0;0.0
19;20_3_7_L.lp.out;[1986, 1650, 1335, 1228, 1143, 852, 850];OPTIMAL;7;False;0.037;0.0
20;21_3_9_L.lp.out;[2382, 1797, 1396, 1356, 1255, 915];OPTIMAL;6;False;0.032;0.002
21;22_3_10_L.lp.out;[1879, 1539, 1482, 1468, 1432, 1401, 1343, 1337, 1311, 1297, 1093, 1090, 1084, 1083, 1077];OPTIMAL;15;False;0.069;0.0
22;23_3_44_L.lp.out;[9733];FEASIBLE;1;True;300.0;0.0
23;24_3_41_L.lp.out;[8304, 8200, 7896, 7891, 7841, 7718, 7605, 7422, 7380, 7348, 7331, 7304, 7279, 7255, 7247, 7044, 6925, 6841, 6776, 6738, 6709, 6584, 6569];FEASIBLE;23;True;299.987;0.0
24;25_3_33_L.lp.out;[8771, 8743, 7572, 7432, 7399, 7109, 7041, 6842, 6787, 6762, 6716, 6590, 6392, 6391, 6343, 6106, 6084, 5580, 5452, 5428, 4939, 4805, 4782, 4595, 4592, 4469, 4425, 4409, 4395, 4383, 4356, 4318];FEASIBLE;32;True;299.984;0.0
25;26_3_29_L.lp.out;[6429, 5090, 5015, 4706, 4485, 4306, 4245, 4243, 4172, 4000, 3972, 3875, 3808, 3767, 3742, 3667, 3531, 3505, 3451, 3395, 3370, 3361, 3350, 3327, 3326, 3300, 3278, 3260, 3255, 3253, 3252, 3231, 3217, 3213, 3199, 3198, 3196, 3179, 3174, 3103, 3101, 3095, 3094, 3089, 3084, 3082, 3077, 3074, 3073, 3071, 3064, 3057];OPTIMAL;52;False;231.875;0.0
26;27_3_42_L.lp.out;[11412, 11377, 11372, 11060, 10608, 10205, 10189, 10158, 10063, 9780, 9708, 9626, 9621, 9606, 9596, 9521, 9413, 9395, 8956, 8904, 8902];FEASIBLE;21;True;299.986;0.0
27;28_3_28_L.lp.out;[5377, 5112, 5043, 4916, 4881, 4865, 4728, 4610, 4499, 4392, 4196, 4117, 4063, 4013, 3997, 3934, 3919, 3912, 3874, 3773, 3712, 3671, 3620, 3602, 3595, 3572, 3533, 3454, 3417, 3414, 3392, 3372, 3340, 3312, 3311, 3242, 3229, 3200, 3161, 3144, 3111, 3102, 3088, 3081, 3073, 3037, 3027, 3000, 2997, 2991, 2988, 2967, 2954, 2929, 2923, 2911, 2905, 2880, 2876, 2861, 2848, 2846, 2829, 2826, 2825, 2822, 2815, 2804, 2782, 2773, 2762, 2761, 2744, 2719, 2713, 2704, 2697, 2696, 2678, 2648, 2640, 2632, 2617, 2599, 2597, 2561, 2545, 2523, 2514, 2506, 2498, 2496, 2495, 2475, 2474, 2473, 2472, 2462, 2457, 2451];OPTIMAL;100;False;193.556;0.0
28;29_3_34_L.lp.out;[8885, 8881, 8515, 8424, 8422, 8356, 7727, 7420, 7367, 6977];FEASIBLE;10;True;299.996;0.0
29;30_3_24_L.lp.out;[3973, 3933, 3682, 3646, 3566, 3476, 3392, 3391, 3351, 3332, 3322, 3319, 3280, 3230, 3079, 3040, 2825, 2786, 2784, 2765, 2761, 2710, 2706, 2684, 2669, 2668, 2625, 2585, 2577, 2562, 2535, 2526, 2520, 2504, 2502, 2486, 2447, 2444, 2407, 2402, 2380, 2368, 2306, 2295, 2271, 2233, 2218, 2215, 2212, 2172, 2151, 2140, 2127, 2110, 2104, 2098, 2087, 2081, 2062, 2029, 2025];OPTIMAL;61;False;30.091;0.0
30;31_3_30_L.lp.out;[6742, 6694, 6246, 6207, 6148, 6012, 5598, 5459, 5445, 5363, 5356, 5165, 5118, 5116, 4719, 4669, 4662, 4360, 4202, 4046, 3994, 3971, 3950, 3933, 3880, 3862, 3836, 3830, 3821, 3796, 3795, 3783, 3761, 3759, 3757, 3731, 3728, 3719, 3704, 3661, 3642, 3584, 3539, 3522, 3510, 3474, 3459, 3454, 3443, 3418, 3384, 3306, 3294, 3269, 3252, 3223, 3177, 3174, 3168, 3134, 3132, 3128, 3126, 3120, 3116, 3111, 3110, 3107, 3094, 3084, 3082];FEASIBLE;71;True;299.974;0.0
31;32_3_26_L.lp.out;[5313, 4544, 3955, 3921, 3684, 3507, 3504, 3503, 3502, 3480, 3385, 3354, 3316, 3315, 3280, 3239, 3229, 3222, 3109, 3098, 3095, 3048, 3044, 3015, 3004];FEASIBLE;25;True;299.993;0.0
32;33_3_5_L.lp.out;[677];OPTIMAL;1;False;0.023;0.001
33;34_3_12_L.lp.out;[2663, 2274, 2220, 2112, 2102, 1986, 1962, 1907, 1889, 1886, 1773, 1771, 1768, 1708, 1679, 1604, 1601, 1585, 1512, 1485, 1431, 1428, 1352, 1349, 1335, 1319];OPTIMAL;26;False;0.216;0.004
34;35_3_44_L.lp.out;[8956, 8893, 8698, 8526, 8436, 8311, 8244, 7793, 7615, 7523, 7512];FEASIBLE;11;True;299.991;0.0
35;36_3_44_L.lp.out;[9882, 9406, 8844, 8769, 8726, 8656, 8416, 7917, 7882, 7858, 7780];FEASIBLE;11;True;299.991;0.0
36;37_3_31_L.lp.out;[8185, 7864, 7809, 7789, 7768, 7465, 7416, 7382, 7188, 7125, 7094, 6971, 6590, 6280, 5969, 5920, 5913, 5474, 5430, 5423, 5316, 5308, 5289, 5193, 5162, 5144, 5127, 5120, 4965, 4933, 4925, 4909, 4830, 4825, 4824, 4789, 4670, 4594, 4592, 4374, 4368, 4289, 4285, 4258, 4253, 4228, 4198, 4193, 4161, 4152, 4144, 4122, 4113, 4096, 4053, 4033, 4015, 3984, 3983, 3981, 3974, 3962, 3923, 3917, 3901, 3885, 3884, 3883, 3871, 3841, 3814, 3797, 3790, 3778];FEASIBLE;74;True;299.971;0.0
37;38_3_44_L.lp.out;[8772, 8641];FEASIBLE;2;True;299.999;0.0
38;39_3_24_L.lp.out;[5284, 4985, 4750, 4715, 4689, 4521, 4519, 4497, 4486, 4475, 4127, 4098, 4094, 4070, 4061, 3982, 3802, 3775, 3623, 3437, 3392, 3314, 3200, 3192, 3146, 3068, 3066, 3034, 3011, 3001, 2988, 2931, 2895, 2863, 2812, 2808, 2804, 2790, 2789, 2745, 2740, 2732, 2689, 2686, 2677, 2666, 2665, 2663, 2651, 2565, 2534, 2532, 2523, 2522, 2503, 2497, 2481, 2457, 2452, 2447, 2423, 2422, 2420, 2409, 2403, 2391, 2374, 2370, 2335, 2305, 2303, 2290, 2287, 2252, 2239, 2235, 2226, 2223, 2213, 2208, 2204, 2198, 2182, 2181, 2180, 2179, 2175, 2150, 2144, 2137, 2125, 2124, 2115, 2114, 2113, 2107, 2078, 2065, 2063, 2047, 2042, 2039];OPTIMAL;102;False;93.483;0.004
39;40_3_28_L.lp.out;[6901, 6716, 5918, 5900, 5725, 5662, 5637, 4947, 4583, 4575, 4476, 4460, 4430, 4393, 4336, 4236, 4234, 4224, 4206, 4147, 4129, 4126, 4117, 4013, 3977, 3975, 3956, 3877, 3848, 3785, 3781, 3748, 3718, 3713, 3712, 3669, 3404, 3359, 3350, 3340, 3278, 3218, 3190, 3158, 3124, 3119, 3117, 3113, 3111, 3093, 3087, 3085, 3064, 3029, 3011, 2974, 2970, 2953];OPTIMAL;58;False;75.437;3.057
40;41_3_38_L.lp.out;[6729, 6680, 6599];FEASIBLE;3;True;299.998;0.0
41;42_3_38_L.lp.out;[9493, 9429, 8567, 8524, 8452, 8309, 8287, 8049, 8044, 7777, 7525, 7374, 7336, 7300, 7097, 7082, 7010, 6975, 6857, 6855, 6704, 6669, 6608, 6549, 6529, 6507, 6462, 6236, 6208, 6161, 5985, 5984, 5970, 5866, 5835, 5828, 5819, 5817, 5807, 5797, 5758, 5751, 5732, 5688, 5677, 5611, 5574, 5551, 5495, 5433, 5378, 5376];FEASIBLE;52;True;299.967;0.0
